paperKey,Author,YearPublished,journal,Title,TypeOfStudy,Mean?,SD?,SE?,statisticalTestsUsed,relevant,relevantReason,Email Authors?,peerReviewStatus,Comments
1,Barber et al.,2017,Biodiversity Conservation,Species and functional trait re-assembly of ground beetle communities in restored grasslands,Experimental,Yes,No,Yes,"GLMM, NMDS",TRUE,PyroEnto,No,Peer,
2,Bargmann et al.,2015,Biodiversity Conservation,Effects of prescribed burning on carabid beetle diversity in coastal anthropogenic heathlands,Observational,No,No,No,"OLS Regression, DCA",FALSE,PyroEnto,Yes,Peer,email authors about raw species data from traps
3,Bargmann et al.,2016,Insect Conservation and Diversity,Species trait selection along a prescribed fire chronosequence,Observational,No,No,No,Bayesian Heirarchical Model,FALSE,Treatment Diversity,Yes,Peer,ask for abundance matrix
4,Barratt et al.,2011,Journal of the Royal Society of New Zealand,"Biodiversity of indigenous tussock grassland sites in Otago, Canterbury and the Central North Island of New Zealand VI. Coleoptera biodiversity, community structure, exotic species invasion, and the effect of disturbance by agricultural development",FALSE,N/A,N/A,N/A,Cluster Analysis,FALSE,Treatment Diversity,No,Peer,
5,Bess et al.,2002,Community and Ecosystem Ecology,"Responses of a Riparian Forest-Floor Arthropod Community to Wildfire in the Middle Rio Grande Valley, New Mexico",Experimental,Yes,No,No,"No Analysis, Plot",TRUE,PyroEnto,Yes,Peer,"extract mean from graphs, ask for SE? ; no control but prefire data"
6,Brennan et al.,2011,Austral Ecology,Fire refugia: The mechanism governing animal survivorship within a highly flammable plantaec_2127,FALSE,Yes,No,Yes,N/A,FALSE,No Carabids,No,Peer,Only went to Order Level
7,Buddle et al.,2006,Biological Conservation,Arthropod responses to harvesting and wildfire: Implications for emulation of natural disturbance in forest management,Observational,Yes,Yes,No,"NMDS, IDA",FALSE,No Control,No,Peer,70+ wildfire treatment = control
8,Castillo and Wagner,2002,Community and Ecosystem Ecology,Ground Beetle (Coleoptera: Carabidae) Species Assemblage as an Indicator of Forest Condition in Northern Arizona Ponderosa Pine Forests,Experimental,Yes,Yes,No,ANOVA,TRUE,PyroEnto,No,Peer,Unmanaged = control
9,Chitwood et al.,2017,Forest Ecology and Management,Macroarthropod response to time-since-fire in the longleaf pine ecosystem,FALSE,Yes,Yes,No,LS Regression,FALSE,No Carabids,No,Peer,Impact Factor is 2.2 and the taxa was only at the Order level...
10,Cobb et al.,2007,Canadian Journal of Forest Research,"Biodiversity and multiple disturbances: boreal forest ground beetle (Coleoptera: Carabidae) responses to wildfire, harvesting, and herbicide",Experimental,Yes,No,Yes,"ANOVA, Tukey's HSD, NMDS",TRUE,PyroEnto,Yes,Peer,"Need raw data for each trap, not lumped."
11,Cook and Holt,2006,Biodiversity Conservation,Fire frequency and mosaic burning effects on a tallgrass prairie ground beetle assemblage,Experimental,No,No,No,"GLM, rmANOVA, DCA",TRUE,PyroEnto,Yes,Peer,"Still had similarity index, and counts, but no stats to extract, need raw data; 20 year treatment can = control"
12,DeSanthis et al.,2007,GREY,Characterizing Mechanical and Prescribed Fire Treatments Following Clear-cutting of Jack Pine and Short-Term Treatment Effects on Insect Communities,FALSE,Yes,No,Yes,ANOVA,FALSE,Fire+Mechanical,No,Grey,
13,Elia et al.,2012,Forest Ecology and Management,The spatial and temporal effects of fire on insect abundance in Mediterranean forest ecosystems,FALSE,Yes,Yes,Yes,"ANOVA, LM",FALSE,No Carabids,No,Peer,
14,Elia et al.,2016,Journal of Zoology,Response of beetle communities five years after wildfire in mediterranean forest ecosystems,Experimental,No,No,No,K-Dominance Analysis,TRUE,PyroEnto,Yes,Peer,"Still has data, but distance from ignition analysis"
15,Fernandez and Costas,2004,European Journal of Soil Biology,Recolonization of burnt pine forest (Pinus pinaster) by Carabidae (Coleoptera),Experimental,Yes,Yes,No,"ANOVA, PCA, T-test",FALSE,REPLICATE of #16,No,Peer,
16,Fernandez and Costas,2002,Entomologia Generalis - Journal of general and applied entomology,Recolonization of a Burnt Pine Forest (Pinus pinaster) by Edaphic Coleoptera,Experimental,No,No,No,DCA,TRUE,PyroEnto,Yes,Peer,"Lumped data, I need data by trap"
17,Gandi et al.,2001,Biological Conservation,Fire residuals as habitat reserves for epigaeic beetles (Coleoptera: Carabidae and Staphylinidae),Experimental,No,No,No,"T-test, LM, ANOVA, Cluster Analysis",TRUE,PyroEnto,No,Peer,Still has data in graphs
18,Gandi et al.,2008,Forest Ecology and Management,Catastrophic windstorm and fuel-reduction treatments alter ground beetle (ColeopteraLCarabidae) assemblages in a North American sub-boreal forest,FALSE,Yes,No,Yes,"ANOVA, REGW",FALSE,Fire+Mechanical,No,Peer,Data in graphs
19,Gongalsky et al.,2006,Entomologica Fennica,Effects of prescribed forest burning on carabid beetles (Coleoptera: Carabidae): a case study in south-eastern Norway,Experimental,No,No,No,CCA,TRUE,PyroEnto,Yes,Peer,Need raw data
20,Hammond et al.,2018,Journal of Insect Conservation,"Response of ground and rove beetles (Coleoptera: Carabidae, Staphylinidae) to operational oil sands mine reclamation in northeastern Alberta, a case study",Experimental,Yes,No,Yes,RDA,TRUE,PyroEnto,Yes,Peer,Need trap data from them.
21,Hanula et al.,2009,Florida Entomologist,GROUND-DWELLING ARTHROPOD ASSOCIATION WITH COARSE WOODY DEBRIS FOLLOWING LONG-TERM DORMANT SEASON PRESCRIBED BURNING IN THE LONGLEAF PINE FLATWOODS OF NORTH FLORIDA,Observational,Yes,No,Yes,"GLM, NMDS",FALSE,No control,Yes,Peer,Need to ask about if controlled burn frequency includes unburned frequency
22,Hyvarinen et al.,2009,Insect Conservation and Diversity,Prescribed fires and retention trees help to conserve beetle diversity in managed boreal forests despite their transient negative effects on some beetle groups,Experimental,Yes,Yes,Yes,"rmANOVA, NMDS",TRUE,PyroEnto,Yes,Peer,"Need raw data, why would they put species richness in abstract and not in paper (SM). Sign off in Finnish, ""kiitos!"""
23,Iglay et al.,2012,Forest Ecology and Management,"Carabid beetle response to prescribed fire and herbicide in intensively managed, mid-rotation pine stands in Mississippi",Experimental,Yes,No,Yes,"MGLMM, NMDS",FALSE,Fire+Mechanical,No,Peer,
24,Jacobs et al.,2007,GREY,"Influences of succession and harvest intensity on ground beetle (Coleoptera, Carabidae) popultions in the boreal mixed-wood forests of Alberta, Canada: species matter",FALSE,No,No,No,rmANOVA,FALSE,Not PyroEnto,No,Grey,
25,Jacobs et al.,2011,Zookeys,"Low intensity surface fire instigates movement by adults of Calosoma frigidum (Coleoptera, Carabidae)",Experimental,No,No,No,"ANOVA, Tukey's HSD",TRUE,PyroEnto,Yes,Peer,Need raw data from traps to assess diversity.
26,Kaynas,2017,iForest - Biogeosciences and Forestry,Long-term changes in surface-active beetle communities in a post-fire successional gradient in Pinus brutia forests,Experimental,Yes,Yes,No,"ANOVA, CCA",TRUE,PyroEnto,Yes,Peer,Need raw data from traps to assess species richness.
27,Koivula and Spence,2006,Forest Ecology and Management,"Effects of post-fire salvage logging on boreal mixed-wood ground beetle assemblages (Coleoptera, Carabidae)",FALSE,Yes,No,No,"GLM, MRT",FALSE,Fire+Mechanical,No,Peer,"All treatments had fire (including control), but also include salvaging logging."
28,Koivula et al.,2006,Entomologica Fennica,"Responses of two Sericoda Kirby, 1837 (Coleoptera: Carabidae) species to forest harvesting, wildfire, and burn severity",Experimental,No,No,Yes,GLM,TRUE,PyroEnto,Yes,Peer,Need pitfall trap data to calculate SE
29,Kral et al.,2017,Rangeland Ecology and Management,Arthropods and Fire: Previous Research Shaping Future Conservation?,FALSE,No,No,No,FALSE,FALSE,Review,No,Peer,We should read this. It bascially is asking what we are
