PaperID,Taxon,Author,YearPublished,Metric,EffectSize,EffectSizeStandardError,FireType,Intensity,FireQuantified,FieldNotes,YearSinceFire,TimeClass,HabitatType,HabitatDetails,Region,RegionDetails,Biome,Month,Season,Growing
1,Carabids,Barber et al.,2017,Abundance,-0.92,0.31,Prescribed Fire,N/A,No,,0,0,Grassland,Grassland,North America Midwest,"Illinois, USA","Temperate grasslands, savannas, & shrublands",No,No,N/A
1,Carabids,Barber et al.,2017,Abundance,0.84,0.32,Prescribed Fire,N/A,No,,0,0,Grassland,Grassland,North America Midwest,"Illinois, USA","Temperate grasslands, savannas, & shrublands",No,No,N/A
1,Carabids,Barber et al.,2017,Abundance,-0.77,0.53,Prescribed Fire,N/A,No,,1,1-5,Grassland,Grassland,North America Midwest,"Illinois, USA","Temperate grasslands, savannas, & shrublands",No,No,N/A
1,Carabids,Barber et al.,2017,Abundance,0.23,0.45,Prescribed Fire,N/A,No,,1,1-5,Grassland,Grassland,North America Midwest,"Illinois, USA","Temperate grasslands, savannas, & shrublands",No,No,N/A
1,Carabids,Barber et al.,2017,Richness,0.49,0.29,Prescribed Fire,N/A,No,,0,0,Grassland,Grassland,North America Midwest,"Illinois, USA","Temperate grasslands, savannas, & shrublands",No,No,N/A
1,Carabids,Barber et al.,2017,Richness,1.61,0.7,Prescribed Fire,N/A,No,,0,0,Grassland,Grassland,North America Midwest,"Illinois, USA","Temperate grasslands, savannas, & shrublands",No,No,N/A
1,Carabids,Barber et al.,2017,Richness,0.67,0.52,Prescribed Fire,N/A,No,,1,1-5,Grassland,Grassland,North America Midwest,"Illinois, USA","Temperate grasslands, savannas, & shrublands",No,No,N/A
1,Carabids,Barber et al.,2017,Richness,-0.28,0.45,Prescribed Fire,N/A,No,,1,1-5,Grassland,Grassland,North America Midwest,"Illinois, USA","Temperate grasslands, savannas, & shrublands",No,No,N/A
5,Carabids,Bess et al.,2002,Richness,-0.16,0.23,Wildfire,Mid,Descriptive,"""Severe"" but ""considerable numbers of dead leaves remained unburned on the upper branches""",0,0,Deciduous Forest,"cottonwood, saltcedar, and russian olive",North America West,"New Mexico, USA",Deserts & xeric strublands,June,Summer,Growing
5,Carabids,Bess et al.,2002,Abundance,-0.71,0.24,Wildfire,Mid,Descriptive,"""Severe"" but ""considerable numbers of dead leaves remained unburned on the upper branches""",0,0,Deciduous Forest,"cottonwood, saltcedar, and russian olive",North America West,"New Mexico, USA",Deserts & xeric strublands,June,Summer,Growing
8,Carabids,Castillo and Wagner,2002,Richness,4.78,0.76,Wildfire,N/A,No,,2,1-5,Coniferous Forest,"Pine forest, Ponderosa Pine",North America West,"Arizona, USA",Temperate conifer forests,No,No,N/A
8,Carabids,Castillo and Wagner,2002,Abundance,0.85,0.2,Wildfire,N/A,No,,2,1-5,Coniferous Forest,"Pine forest, Ponderosa Pine",North America West,"Arizona, USA",Temperate conifer forests,No,No,N/A
8,Carabids,Castillo and Wagner,2002,Richness,3.23,0.45,Wildfire,N/A,No,,3,1-5,Coniferous Forest,"Pine forest, Ponderosa Pine",North America West,"Arizona, USA",Temperate conifer forests,No,No,N/A
8,Carabids,Castillo and Wagner,2002,Abundance,0.05,0.18,Wildfire,N/A,No,,3,1-5,Coniferous Forest,"Pine forest, Ponderosa Pine",North America West,"Arizona, USA",Temperate conifer forests,No,No,N/A
8,Carabids,Castillo and Wagner,2002,Richness,5.2,1.41,Wildfire,N/A,No,,4,1-5,Coniferous Forest,"Pine forest, Ponderosa Pine",North America West,"Arizona, USA",Temperate conifer forests,No,No,N/A
8,Carabids,Castillo and Wagner,2002,Abundance,1.64,0.4,Wildfire,N/A,No,,4,1-5,Coniferous Forest,"Pine forest, Ponderosa Pine",North America West,"Arizona, USA",Temperate conifer forests,No,No,N/A
17,Carabids,Ghandi et al.,2001,Abundance,-1.47,0.17,Wildfire,High,Descriptive,"""Crown fire""",0,0,Coniferous Forest,lodgepole pinestands in unburned mature forest,Canada,"Alberta, Canada",Boreal Forests/taiga,No,No,N/A
17,Carabids,Ghandi et al.,2001,Abundance,0.48,0.16,Wildfire,High,Descriptive,"""Crown fire""",0,0,Coniferous Forest,lodgepole pinestands in unburned mature forest,Canada,"Alberta, Canada",Boreal Forests/taiga,No,No,N/A
19,Carabids,Gongalski et al.,2006,Abundance,0.28,0.03,Prescribed Fire,Low,Descriptive,"""moist weather preceded thw prescribed forest fire""",0,0,Coniferous Forest,norway spruce,Europe,Norway,,May,Spring,Growing
19,Carabids,Gongalski et al.,2006,Richness,0.32,0.03,Prescribed Fire,Low,Descriptive,"""moist weather preceded thw prescribed forest fire""",0,0,Coniferous Forest,norway spruce,Europe,Norway,,May,Spring,Growing
20,Carabids,Hammond et al.,2018,Abundance,-2.33,0.27,Wildfire,High,Descriptive,"""mature trees had been killed by the fire. Much of the bark had been burned away or sloughed off stems and logs, and consequently the underlying wood was fire-hardened, leaving little in the way of usable arthropod habitat.",5,1-5,Deciduous Forest,aspen dominated with a spruce understory,Canada,"Alberta, Canada",Boreal Forests/taiga,May,Spring,Growing
20,Carabids,Hammond et al.,2018,Richness,-1.64,0.21,Wildfire,High,Descriptive,"""mature trees had been killed by the fire. Much of the bark had been burned away or sloughed off stems and logs, and consequently the underlying wood was fire-hardened, leaving little in the way of usable arthropod habitat.",5,1-5,Deciduous Forest,aspen dominated with a spruce understory,Canada,"Alberta, Canada",Boreal Forests/taiga,May,Spring,Growing
28,Carabids,Koivula et al.,2006,Abundance,1.28,0.27,Prescribed Fire,Low,Yes,"""light burns""",1,1-5,Coniferous Forest,"white spruce, small portion of black spruce",Canada,"Alberta, Canada",Boreal Forests/taiga,July,,Growing
28,Carabids,Koivula et al.,2006,Abundance,1.6,0.3,Prescribed Fire,High,Yes,"""Severe Burns""",1,1-5,Coniferous Forest,"white spruce, small portion of black spruce",Canada,"Alberta, Canada",Boreal Forests/taiga,July,,Growing
