Author,YearPublished,Metric,EffectSize,EffectSizeStandardError,Intensity,Quantified?,Details,YearSinceFire,TimeClass,HabitatType,Details,FireType,Details,Region,RegionDetails,Biome,Month,Season,Growing
Bohl et al.,2016,Abundance,-2.99,0.26,N/A,No,N/A,0,0,Grassland,"""restored prairie""",Prescribed,,"Ohio, USA",North American Miidwest,,April,Spring,Growing
Campbell et al.,2007,Abundance,4.72,0.74,Low,,,2,1to5,Deciduous Forest,Oak Dominated,Prescribed,"hand ignition, spot fire, strip headfire, moderate to high flame length",North America East,"North Carolina, USA",,March,Winter,Dormant
Campbell et al.,2007,Abundance,0.54,0.19,Low,,,1,1to5,Deciduous Forest,Oak Dominated,Prescribed,"hand ignition, spot fire, strip headfire, moderate to high flame length",North America East,"North Carolina, USA",,March,Winter,Dormant
Cleary and Mooers 2004,2004,Richness,-0.12,0,High,,"N/A, but B1 = wildfire = high",2,1to5,Tropical Rainforest,,Wildfire,ENSO Event,Borneo,,,Sept 97 - Feb 98,,
Cleary and Mooers 2006,2006,Abundance,-0.25,0,High,,"N/A, but B1 = wildfire = high",2,1to5,Tropical Rainforest,,Wildfire,ENSO Event,Borneo,,,No,,
Dollar,2013,Abundance,-0.62,0.3,Low,Descriptive,"""buffers. Litter cover was greatest on control buffers, intermediate on disk 2007 buffers (1st growing season post-disk), and least on burn 2008 buffers (1st growing season post-burn; Table 2). Flowering stems and flowering types were greatest on burn 2008 buffers...""",1,1to5,Grassland,grassland,Prescribed,"""We used prescribed burning because...""","Mississippi, USA",,,March-April,Spring,Growing
Dollar,2013,Richness,0,0.28,Low,Descriptive,"""buffers. Litter cover was greatest on control buffers, intermediate on disk 2007 buffers (1st growing season post-disk), and least on burn 2008 buffers (1st growing season post-burn; Table 2). Flowering stems and flowering types were greatest on burn 2008 buffers...""",1,1to5,Grassland,grassland,Prescribed,"""We used prescribed burning because...""","Mississippi, USA",,,March-April,Spring,Growing
Fleishman,2000,Richness,-2.29,0.59,Low,,Prescribed burn = low,0,0,Riparian/GreatBasin,,Prescribed,,Nevada,,,Oct/April,Winter?,Dormant
Fleishman,2000,Richness,-2.75,0.7,Low,,Prescribed burn = low,1,1to5,Riparian/GreatBasin,,Prescribed,,Nevada,,,Oct/April,Winter?,Dormant
Kwon et al.,2013,Richness,-0.32,0.29,High,Descriptive,"""large forest fire""",0,0,Grassland,"""..changed into grassland..""",Wildfire,"""large forest fire""",Korea,,,April,Spring,Growing
Kwon et al.,2013,Richness,0.98,0.28,High,Descriptive,"""large forest fire""",1,1to5,Grassland,"""..changed into grassland..""",Wildfire,"""large forest fire""",Korea,,,April,Spring,Growing
Kwon et al.,2013,Richness,-1.03,0.29,High,Descriptive,"""large forest fire""",2,1to5,Grassland,"""..changed into grassland..""",Wildfire,"""large forest fire""",Korea,,,April,Spring,Growing
Kwon et al.,2013,Richness,-1.07,0.33,High,Descriptive,"""large forest fire""",3,1to5,Grassland,"""..changed into grassland..""",Wildfire,"""large forest fire""",Korea,,,April,Spring,Growing
Kwon et al.,2013,Richness,0,0.33,High,Descriptive,"""large forest fire""",4,1to5,Grassland,"""..changed into grassland..""",Wildfire,"""large forest fire""",Korea,,,April,Spring,Growing
Mciver and Macke,2014,Abundance,0.55,0.3,Low,Descriptive,gave numbers of consumption,1,1to5,Coniferous Forest,JP,Prescribed,N/A,Western US,"Great Basin, mulitple states",,Aug-Nov,Summer/Fall,Growing
Mciver and Macke,2014,Abundance,-0.41,0.31,Low,Descriptive,gave numbers of consumption,1,1to5,Coniferous Forest,PJ,Prescribed,N/A,Western US,"Great Basin, mulitple states",,May-Oct,Spring/Summer,Growing
Mciver and Macke,2014,Abundance,1.09,0.53,Low,Descriptive,gave numbers of consumption,1,1to5,Grassland,SBE,Prescribed,N/A,Western US,"Great Basin, mulitple states",,Aug-Nov,Summer/Fall,Growing
Mciver and Macke,2014,Abundance,0.13,0.28,Low,Descriptive,gave numbers of consumption,1,1to5,Grassland,SBW,Prescribed,N/A,Western US,"Great Basin, mulitple states",,May-Oct,Spring/Summer,Growing
Mciver and Macke,2014,Abundance,0.05,0.33,Low,Descriptive,gave numbers of consumption,1,1to5,Coniferous Forest,WJ,Prescribed,N/A,Western US,"Great Basin, mulitple states",,Aug-Nov,Summer/Fall,Growing
Mciver and Macke,2014,Richness,0.34,0.29,Low,Descriptive,gave numbers of consumption,1,1to5,Coniferous Forest,JP,Prescribed,N/A,Western US,"Great Basin, mulitple states",,May-Oct,Spring/Summer,Growing
