PaperID,Taxon,Author,Year Published,Metric,EffectSize,EffectSizeStandardError,FireType,Intensity,FireQuantified,FireNotes,YearSinceFire,HabitatType,HabitatDetails,Region,RegionDetails,Biome,Month/Season,Growing,TimeClass
3,Bees,Campbell et al.,2007,Abundance,-0.93,0.2,Prescribed Fire,Low,Desciptive,"hand ignition, spot fire, strip headfire, moderate to high flame length",1,Deciduous Forest,Oak Dominated,North America East,"North Carolina, USA",,March,Dormant,1to5
3,Bees,Campbell et al.,2007,Abundance,1.57,0.25,Prescribed Fire,Low,Desciptive,"hand ignition, spot fire, strip headfire, moderate to high flame length",2,Deciduous Forest,Oak Dominated,North America East,"North Carolina, USA",,March,Dormant,1to5
14,Bees,Lettow et al.,2018,Abundance,0.95,0.11,Prescribed Fire,N/A,No,,0,Deciduous Forest,"Red Maple, Black Cherry, Oak",North America Midwest,"Michigan, USA",Temperate broadleaf & mixed forests,No,Growing,0
14,Bees,Lettow et al.,2018,Abundance,1.9,0.14,Prescribed Fire,N/A,No,,0,Deciduous Forest,"Red Maple, Black Cherry, Oak",North America Midwest,"Michigan, USA",Temperate broadleaf & mixed forests,No,Growing,0
14,Bees,Lettow et al.,2018,Richness,-0.62,0.1,Prescribed Fire,N/A,No,,0,Deciduous Forest,"Red Maple, Black Cherry, Oak",North America Midwest,"Michigan, USA",Temperate broadleaf & mixed forests,No,Growing,0
14,Bees,Lettow et al.,2018,Richness,0.62,0.1,Prescribed Fire,N/A,No,,0,Deciduous Forest,"Red Maple, Black Cherry, Oak",North America Midwest,"Michigan, USA",Temperate broadleaf & mixed forests,No,Growing,0
16,Bees,LoPresti et al.,2018,Abundance,0.61,0.18,Wildfire,N/A,No,,1,Grassland,Grassland,North America West,"California, USA","Temperate grasslands, savannas, & shrublands",August,Growing,1to5
17,Bees,Love and Cane,2016,Abundance,-0.53,0.4,Wildfire,N/A,No,,0,Grassland,Sagebrush Steppe,North American West,"Idaho, USA","Temperate grasslands, savannas, & shrublands",August,Growing,0
17,Bees,Love and Cane,2016,Richness,-0.95,0.43,Wildfire,N/A,No,,0,Grassland,Sagebrush Steppe,North American West,"Idaho, USA","Temperate grasslands, savannas, & shrublands",August,Growing,0
20,Bees,Moretti et al.,2009,Richness,1.89,0.43,Wildfire,N/A,No,,2,Coniferous Forest,Alleppo Pine Dominated,Middle East,Israel,"Mediterranean forests, woodlands, & scrub",June; July; August; September; October,Growing,1to5
20,Bees,Moretti et al.,2009,Abundance,1.11,0.34,Wildfire,N/A,No,,2,Coniferous Forest,Alleppo Pine Dominated,Middle East,Israel,"Mediterranean forests, woodlands, & scrub",June; July; August; September; October,Growing,1to5
20,Bees,Moretti et al.,2009,Richness,-0.16,0.29,Wildfire,N/A,No,,12,Coniferous Forest,Alleppo Pine Dominated,Middle East,Israel,"Mediterranean forests, woodlands, & scrub",June; July; August; September; October,Growing,5+
